date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:22:36	38312/38312	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202019%2011:53:07%20GMT	https://cyclonethemes.com/demo/html/padhai/index.html	C:/My%20Web%20Sites/iti-college/cyclonethemes.com/demo/html/padhai/index.html	(from )
00:22:36	263/263	---M-Z	200	added ('OK')	text/plain	date:Wed,%2015%20Apr%202020%2012:15:22%20GMT	https://cyclonethemes.com/robots.txt		(from )
00:22:37	4664/4664	---M-Z	200	added ('OK')	application/javascript	etag:%225216955c7f8c0ab211fdf2ba2053d057%22	https://cyclonethemes.com/cdn-cgi/apps/head/aXeeT3C8FEVE2uMUPMMUDxVnKrs.js	C:/My%20Web%20Sites/iti-college/cyclonethemes.com/cdn-cgi/apps/head/aXeeT3C8FEVE2uMUPMMUDxVnKrs.js	(from https://cyclonethemes.com/demo/html/padhai/index.html)
00:22:37	17173/17173	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2011:08:15%20GMT	https://cyclonethemes.com/demo/html/padhai/images/favicon.png	C:/My%20Web%20Sites/iti-college/cyclonethemes.com/demo/html/padhai/images/favicon.png	(from https://cyclonethemes.com/demo/html/padhai/index.html)
00:22:37	121215/121215	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2012:17:02%20GMT	https://cyclonethemes.com/demo/html/padhai/css/bootstrap.min.css	C:/My%20Web%20Sites/iti-college/cyclonethemes.com/demo/html/padhai/css/bootstrap.min.css	(from https://cyclonethemes.com/demo/html/padhai/index.html)
00:22:37	9202/9202	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2012:17:02%20GMT	https://cyclonethemes.com/demo/html/padhai/css/default.css	C:/My%20Web%20Sites/iti-college/cyclonethemes.com/demo/html/padhai/css/default.css	(from https://cyclonethemes.com/demo/html/padhai/index.html)
00:22:38	110046/110046	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2012:17:05%20GMT	https://cyclonethemes.com/demo/html/padhai/css/style.css	C:/My%20Web%20Sites/iti-college/cyclonethemes.com/demo/html/padhai/css/style.css	(from https://cyclonethemes.com/demo/html/padhai/index.html)
00:22:38	3635/3635	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2012:17:04%20GMT	https://cyclonethemes.com/demo/html/padhai/css/owl.carousel.css	C:/My%20Web%20Sites/iti-college/cyclonethemes.com/demo/html/padhai/css/owl.carousel.css	(from https://cyclonethemes.com/demo/html/padhai/index.html)
00:22:38	2068/2068	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2012:17:04%20GMT	https://cyclonethemes.com/demo/html/padhai/css/modal-video-min.css	C:/My%20Web%20Sites/iti-college/cyclonethemes.com/demo/html/padhai/css/modal-video-min.css	(from https://cyclonethemes.com/demo/html/padhai/index.html)
00:22:38	116017/116017	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2012:17:05%20GMT	https://cyclonethemes.com/demo/html/padhai/css/plugin.css	C:/My%20Web%20Sites/iti-college/cyclonethemes.com/demo/html/padhai/css/plugin.css	(from https://cyclonethemes.com/demo/html/padhai/index.html)
